"Construct","Indicator","Weight","Loading","Weight_Significant","Decision","Reason"
"COM","COM1",0.239,0.863,TRUE,"KEEP","Weight significant (CI[0.037,0.418] excl. 0, t=2.483, p=0.0204)"
"COM","COM2",-0.017,0.796,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=-0.171, p=0.9352) but loading=0.796 >= 0.50; content important"
"COM","COM3",0.226,0.856,TRUE,"KEEP","Weight significant (CI[0.020,0.402] excl. 0, t=2.357, p=0.0308)"
"COM","COM4",0.123,0.726,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=1.747, p=0.0868) but loading=0.726 >= 0.50; content important"
"COM","COM5",0.041,0.763,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=0.424, p=0.6552) but loading=0.763 >= 0.50; content important"
"COM","COM7",0.131,0.643,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=1.933, p=0.0524) but loading=0.643 >= 0.50; content important"
"COM","COM8",0.211,0.854,TRUE,"KEEP","Weight significant (CI[0.030,0.406] excl. 0, t=2.187, p=0.0232)"
"COM","COM9",0.268,0.853,TRUE,"KEEP","Weight significant (CI[0.105,0.432] excl. 0, t=3.230, p=<0.001)"
"MO","MO1",0.155,0.785,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=1.345, p=0.1744) but loading=0.785 >= 0.50; content important"
"MO","MO2",0.347,0.811,TRUE,"KEEP","Weight significant (CI[0.117,0.546] excl. 0, t=3.168, p=0.0044)"
"MO","MO3",0.314,0.768,TRUE,"KEEP","Weight significant (CI[0.100,0.523] excl. 0, t=2.862, p=0.0060)"
"MO","MO4",0.167,0.77,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=1.593, p=0.1060) but loading=0.770 >= 0.50; content important"
"MO","MO5",0.3,0.76,TRUE,"KEEP","Weight significant (CI[0.109,0.472] excl. 0, t=3.194, p=0.0016)"
"CG","CG1",-0.048,0.647,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=-0.485, p=0.6316) but loading=0.647 >= 0.50; content important"
"CG","CG2",-0.036,0.642,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=-0.379, p=0.7336) but loading=0.642 >= 0.50; content important"
"CG","CG3",0.331,0.834,TRUE,"KEEP","Weight significant (CI[0.133,0.516] excl. 0, t=3.401, p=0.0048)"
"CG","CG4",0.13,0.732,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=1.148, p=0.2456) but loading=0.732 >= 0.50; content important"
"CG","CG5",0.003,0.725,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=0.026, p=0.9744) but loading=0.725 >= 0.50; content important"
"CG","CG6",0.046,0.596,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=0.558, p=0.5556) but loading=0.596 >= 0.50; content important"
"CG","CG7",0.347,0.869,TRUE,"KEEP","Weight significant (CI[0.096,0.593] excl. 0, t=2.734, p=0.0060)"
"CG","CG8",0.019,0.828,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=0.166, p=0.8392) but loading=0.828 >= 0.50; content important"
"CG","CG9",0.37,0.909,TRUE,"KEEP","Weight significant (CI[0.096,0.621] excl. 0, t=2.750, p=0.0092)"
"ETH","ETH1",0.203,0.901,TRUE,"KEEP","Weight significant (CI[0.081,0.327] excl. 0, t=3.227, p=<0.001)"
"ETH","ETH2",0.299,0.926,TRUE,"KEEP","Weight significant (CI[0.153,0.428] excl. 0, t=4.287, p=<0.001)"
"ETH","ETH3",0.236,0.934,TRUE,"KEEP","Weight significant (CI[0.085,0.399] excl. 0, t=2.946, p=0.0032)"
"ETH","ETH4",0.342,0.932,TRUE,"KEEP","Weight significant (CI[0.213,0.465] excl. 0, t=5.360, p=<0.001)"
"TC","TC1",0.648,0.888,TRUE,"KEEP","Weight significant (CI[0.408,0.844] excl. 0, t=5.795, p=<0.001)"
"TC","TC2",-0.158,0.662,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=-1.241, p=0.2332) but loading=0.662 >= 0.50; content important"
"TC","TC3",0.546,0.863,TRUE,"KEEP","Weight significant (CI[0.252,0.787] excl. 0, t=3.976, p=0.0012)"
"TC","TC4",-0.082,0.668,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=-0.470, p=0.5800) but loading=0.668 >= 0.50; content important"
"TC","TC5",0.136,0.718,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=0.762, p=0.4136) but loading=0.718 >= 0.50; content important"
"TC","TC6",0.023,0.64,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=0.151, p=0.8616) but loading=0.640 >= 0.50; content important"
"AQ","AQ1",0.27,0.869,TRUE,"KEEP","Weight significant (CI[0.156,0.379] excl. 0, t=4.673, p=<0.001)"
"AQ","AQ2",0.029,0.76,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=0.537, p=0.5672) but loading=0.760 >= 0.50; content important"
"AQ","AQ3",0.08,0.826,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=1.218, p=0.1856) but loading=0.826 >= 0.50; content important"
"AQ","AQ4",0.425,0.939,TRUE,"KEEP","Weight significant (CI[0.271,0.544] excl. 0, t=6.013, p=<0.001)"
"AQ","AQ5",0.284,0.872,TRUE,"KEEP","Weight significant (CI[0.163,0.411] excl. 0, t=4.542, p=<0.001)"
"AQ","AQ6",0.041,0.745,FALSE,"KEEP (content)","Weight ns (CI includes 0, t=0.991, p=0.3020) but loading=0.745 >= 0.50; content important"
